"actual-drag-rfile"
"Iteration" "actual-drag"
("Iteration" "actual-drag")
1 0.000611534102014365
2 0.0003233871761406654
3 0.0001740661150029957
4 9.873083452354413e-05
5 6.055927144584307e-05
6 4.115277089096318e-05
7 3.124560125775745e-05
8 2.616715441815906e-05
9 2.355311220166196e-05
10 2.218951439673004e-05
11 2.146477981957567e-05
12 2.107592364734537e-05
13 2.085731533495467e-05
14 2.073256369745456e-05
15 2.065712362189918e-05
16 2.060863210564354e-05
17 2.057727157332225e-05
18 2.055677316616198e-05
19 2.054290634253236e-05
20 2.053304520851778e-05
21 2.052585771561808e-05
22 2.05205438616663e-05
23 2.05165763176472e-05
24 2.051358987521297e-05
25 2.051133121265729e-05
26 2.050961244533791e-05
27 2.050830222064208e-05
28 2.050730143661071e-05
29 2.050653577780429e-05
30 2.050594934463759e-05
31 2.050549981855857e-05
32 2.050515505807523e-05
33 2.050489045881713e-05
34 2.050468752390454e-05
35 2.05045318482745e-05
36 2.05044122579791e-05
37 2.050432033884975e-05
38 2.050424905678182e-05
39 2.0504194530461e-05
40 2.050415282206187e-05
41 2.050412082846373e-05
42 2.050409626019742e-05
43 2.050407738853515e-05
44 2.050406289186024e-05
45 2.050405175613545e-05
46 2.050404320318152e-05
47 2.050403663448054e-05
48 2.050403158976604e-05
49 2.050402771554161e-05
50 2.050402474025871e-05
51 2.050402245532601e-05
