"drag-force-on-square-rfile"
"Iteration" "drag-force-on-square"
("Iteration" "drag-force-on-square")
1 0.0009984230236969225
2 0.0005279790630868007
3 0.000284189575515095
4 0.0001611931992221129
5 9.887227991158051e-05
6 6.71881973730011e-05
7 5.101322654327747e-05
8 4.272188476434132e-05
9 3.845406073740727e-05
10 3.622777860690618e-05
11 3.504453848093987e-05
12 3.440967126097203e-05
13 3.405275973053824e-05
14 3.384908358768091e-05
15 3.372591611738642e-05
16 3.364674629492823e-05
17 3.359554542583224e-05
18 3.356207863863179e-05
19 3.353943892658344e-05
20 3.35233391159474e-05
21 3.351160443366218e-05
22 3.350292875374089e-05
23 3.349645113085258e-05
24 3.349157530647016e-05
25 3.348788769413435e-05
26 3.348508154340883e-05
27 3.348294240104829e-05
28 3.348130846793585e-05
29 3.348005841274169e-05
30 3.347910097083688e-05
31 3.347836705070786e-05
32 3.347780417644935e-05
33 3.347737217766062e-05
34 3.347704085535434e-05
35 3.34767866910604e-05
36 3.347659144159852e-05
37 3.347644136955061e-05
38 3.347632499066419e-05
39 3.347623596809958e-05
40 3.347616787275407e-05
41 3.347611563830812e-05
42 3.347607552685292e-05
43 3.347604471597576e-05
44 3.347602104793509e-05
45 3.347600286715992e-05
46 3.34759889031535e-05
47 3.347597817874373e-05
48 3.347596994247516e-05
49 3.347596361721078e-05
50 3.347595875960606e-05
51 3.347595502910369e-05
