"drag-force-on-square-rfile"
"Iteration" "drag-force-on-square"
("Iteration" "drag-force-on-square")
1 0.0002758623798416282
2 0.0001693307510774158
3 0.0001058487144290712
4 7.318829108996618e-05
5 5.611806511842347e-05
6 4.703463138425636e-05
7 4.210309174745066e-05
8 3.939781654777344e-05
9 3.789318234674576e-05
10 3.705247392711171e-05
11 3.655216748797682e-05
12 3.624578870747988e-05
13 3.605229840725123e-05
14 3.592733851057637e-05
15 3.584377863904881e-05
16 3.578656673564101e-05
17 3.574650082577362e-05
18 3.571787737772984e-05
19 3.569706548816083e-05
20 3.568168761482422e-05
21 3.567016966028398e-05
22 3.566144259128595e-05
23 3.565477022670828e-05
24 3.564963422500793e-05
25 3.564566147550335e-05
26 3.564257534923867e-05
27 3.564017050151728e-05
28 3.563829266512946e-05
29 3.563682441836276e-05
30 3.563567553112315e-05
31 3.563477620745882e-05
32 3.563407215293223e-05
33 3.563352098303417e-05
34 3.563308953986427e-05
35 3.563275184514423e-05
36 3.563248753218144e-05
37 3.563228064053375e-05
38 3.563211868235108e-05
39 3.563199188569848e-05
40 3.563189259998002e-05
41 3.563181486313412e-05
42 3.563175402288022e-05
43 3.563170635293294e-05
44 3.563166894686375e-05
45 3.563163956303435e-05
46 3.56316164628302e-05
47 3.563159829130471e-05
48 3.563158398965059e-05
49 3.563157272895669e-05
50 3.563156385939259e-05
51 3.563155687096843e-05
52 3.563155136309809e-05
53 3.563154702091298e-05
