"actual-drag-rfile"
"Iteration" "actual-drag"
("Iteration" "actual-drag")
1 0.0001689657076529973
2 0.0001037150850349172
3 6.48323375878061e-05
4 4.482782829260429e-05
5 3.437231488503438e-05
6 2.880871172285702e-05
7 2.578814369531353e-05
8 2.413116263551124e-05
9 2.320957418738178e-05
10 2.269464028035593e-05
11 2.23882025863858e-05
12 2.220054558333143e-05
13 2.208203277444138e-05
14 2.200549483772803e-05
15 2.195431441641739e-05
16 2.191927212558012e-05
17 2.189473175578634e-05
18 2.187719989385953e-05
19 2.186445261149851e-05
20 2.185503366407984e-05
21 2.184797891692394e-05
22 2.184263358716265e-05
23 2.183854676385883e-05
24 2.183540096281736e-05
25 2.18329676537458e-05
26 2.183107740140868e-05
27 2.182960443217934e-05
28 2.182845425739179e-05
29 2.18275549562472e-05
30 2.182685126281293e-05
31 2.182630042706853e-05
32 2.182586919367099e-05
33 2.182553160210843e-05
34 2.182526734316687e-05
35 2.182506050515085e-05
36 2.182489861346113e-05
37 2.182477189232693e-05
38 2.182467269294004e-05
39 2.182459502999032e-05
40 2.182453421748776e-05
41 2.182448660366965e-05
42 2.182444933901413e-05
43 2.182442014117143e-05
44 2.182439722995405e-05
45 2.182437923235854e-05
46 2.18243650834835e-05
47 2.182435395342414e-05
48 2.182434519366099e-05
49 2.182433829648597e-05
50 2.182433286387796e-05
51 2.182432858346817e-05
52 2.182432520989759e-05
53 2.18243225503092e-05
