[Name]
Series 1 at Line 1

[Data]
X [ m ],Velocity u [ m s^-1 ]
4.08498496e-02, 4.26187459e-03
4.12307121e-02, 4.39814432e-03
4.16115746e-02, 4.53384267e-03
4.19924371e-02, 4.66926116e-03
4.23732996e-02, 4.80417255e-03
4.27541621e-02, 4.93874401e-03
4.31350246e-02, 5.07316086e-03
4.35158871e-02, 5.20741334e-03
4.38967496e-02, 5.34056034e-03
4.42776121e-02, 5.47218602e-03
4.46584746e-02, 5.60488552e-03
4.50393371e-02, 5.73748350e-03
4.54201996e-02, 5.86755527e-03
4.58010621e-02, 5.99819655e-03
4.61819246e-02, 6.12943107e-03
4.65627871e-02, 6.25823531e-03
4.69436496e-02, 6.38683792e-03
4.73245122e-02, 6.51619583e-03
4.77053747e-02, 6.64399005e-03
4.80862372e-02, 6.77063409e-03
4.84670997e-02, 6.89798128e-03
4.88479622e-02, 7.02462485e-03
4.92288247e-02, 7.14943372e-03
4.96096872e-02, 7.27462117e-03
4.99905497e-02, 7.39999441e-03
5.03714122e-02, 7.52290152e-03
5.07522747e-02, 7.64596742e-03
5.11331372e-02, 7.76931318e-03
5.15139997e-02, 7.89092202e-03
5.18948622e-02, 8.01190920e-03
5.22757247e-02, 8.13317206e-03
5.26565872e-02, 8.25341418e-03
5.30374497e-02, 8.37239251e-03
5.34183122e-02, 8.49151239e-03
5.37991747e-02, 8.61030724e-03
5.41800372e-02, 8.72727484e-03
5.45608997e-02, 8.84427968e-03
5.49417622e-02, 8.96131806e-03
5.53226247e-02, 9.07650404e-03
5.57034872e-02, 9.19143204e-03
5.60843498e-02, 9.30634607e-03
5.64652123e-02, 9.42004845e-03
5.68460748e-02, 9.53294802e-03
5.72269373e-02, 9.64573771e-03
5.76077998e-02, 9.75790992e-03
5.79886623e-02, 9.86876525e-03
5.83695248e-02, 9.97949392e-03
5.87503873e-02, 1.00900978e-02
5.91312498e-02, 1.01989107e-02
5.95121123e-02, 1.03076249e-02
5.98929748e-02, 1.04161883e-02
6.02738373e-02, 1.05234077e-02
6.06546998e-02, 1.06301503e-02
6.10355623e-02, 1.07366238e-02
6.14164248e-02, 1.08422888e-02
6.17972873e-02, 1.09470477e-02
6.21781498e-02, 1.10515133e-02
6.25590086e-02, 1.11555997e-02
6.29398674e-02, 1.12583544e-02
6.33207262e-02, 1.13608837e-02
6.37015849e-02, 1.14632361e-02
6.40824437e-02, 1.15641532e-02
6.44633025e-02, 1.16648050e-02
6.48441613e-02, 1.17651345e-02
6.52250201e-02, 1.18645132e-02
6.56058788e-02, 1.19633190e-02
6.59867376e-02, 1.20616630e-02
6.63675964e-02, 1.21594928e-02
6.67484552e-02, 1.22563634e-02
6.71293139e-02, 1.23528820e-02
6.75101727e-02, 1.24491677e-02
6.78910315e-02, 1.25441300e-02
6.82718903e-02, 1.26388688e-02
6.86527491e-02, 1.27333077e-02
6.90336078e-02, 1.28266877e-02
6.94144666e-02, 1.29196886e-02
6.97953254e-02, 1.30122267e-02
7.01761842e-02, 1.31041175e-02
7.05570430e-02, 1.31953470e-02
7.09379017e-02, 1.32860979e-02
7.13187605e-02, 1.33764967e-02
7.16996193e-02, 1.34659084e-02
7.20804781e-02, 1.35549922e-02
7.24613369e-02, 1.36438357e-02
7.28421956e-02, 1.37315402e-02
7.32230544e-02, 1.38189979e-02
7.36039132e-02, 1.39060412e-02
7.39847720e-02, 1.39923207e-02
7.43656307e-02, 1.40781878e-02
7.47464895e-02, 1.41634755e-02
7.51273483e-02, 1.42483432e-02
7.55082071e-02, 1.43324966e-02
7.58890659e-02, 1.44162197e-02
7.62699246e-02, 1.44996885e-02
7.66507834e-02, 1.45821562e-02
7.70316422e-02, 1.46643603e-02
7.74125010e-02, 1.47462338e-02
7.77933598e-02, 1.48272570e-02
7.81742185e-02, 1.49079813e-02
7.85550773e-02, 1.49882054e-02
7.89359361e-02, 1.50678940e-02
7.93167949e-02, 1.51471011e-02
7.96976537e-02, 1.52257793e-02
8.00785124e-02, 1.53041510e-02
8.04593712e-02, 1.53817777e-02
8.08402300e-02, 1.54590430e-02
8.12210888e-02, 1.55360689e-02
8.16019475e-02, 1.56121878e-02
8.19828063e-02, 1.56880785e-02
8.23636651e-02, 1.57635622e-02
8.27445239e-02, 1.58384256e-02
8.31253827e-02, 1.59129761e-02
8.35062414e-02, 1.59869511e-02
8.38871002e-02, 1.60605777e-02
8.42679590e-02, 1.61336660e-02
8.46488178e-02, 1.62063166e-02
8.50296766e-02, 1.62787214e-02
8.54105353e-02, 1.63503662e-02
8.57913941e-02, 1.64217371e-02
8.61722529e-02, 1.64928045e-02
8.65531117e-02, 1.65631808e-02
8.69339705e-02, 1.66333020e-02
8.73148292e-02, 1.67029649e-02
8.76956880e-02, 1.67721845e-02
8.80765468e-02, 1.68410409e-02
8.84574056e-02, 1.69093851e-02
8.88382643e-02, 1.69774648e-02
8.92191231e-02, 1.70449726e-02
8.95999819e-02, 1.71121359e-02
8.99808407e-02, 1.71790868e-02
9.03616995e-02, 1.72452927e-02
9.07425582e-02, 1.73112974e-02
9.11234170e-02, 1.73769426e-02
9.15042758e-02, 1.74420737e-02
9.18851346e-02, 1.75069571e-02
9.22659934e-02, 1.75713524e-02
9.26468521e-02, 1.76354293e-02
9.30277109e-02, 1.76990945e-02
9.34085697e-02, 1.77623704e-02
9.37894285e-02, 1.78254321e-02
9.41702873e-02, 1.78878605e-02
9.45511460e-02, 1.79500543e-02
9.49320048e-02, 1.80120151e-02
9.53128636e-02, 1.80733465e-02
9.56937224e-02, 1.81344729e-02
9.60745811e-02, 1.81952566e-02
9.64554399e-02, 1.82556137e-02
9.68362987e-02, 1.83156691e-02
9.72171575e-02, 1.83753204e-02
9.75980163e-02, 1.84347406e-02
9.79788750e-02, 1.84936486e-02
9.83597338e-02, 1.85522866e-02
9.87405926e-02, 1.86107773e-02
9.91214514e-02, 1.86685808e-02
9.95023102e-02, 1.87262259e-02
9.98831689e-02, 1.87836252e-02
1.00264028e-01, 1.88405234e-02
1.00644886e-01, 1.88972037e-02
1.01025745e-01, 1.89535264e-02
1.01406604e-01, 1.90095510e-02
1.01787463e-01, 1.90652162e-02
1.02168322e-01, 1.91205628e-02
1.02549180e-01, 1.91757288e-02
1.02930039e-01, 1.92303639e-02
1.03310898e-01, 1.92847941e-02
1.03691757e-01, 1.93390436e-02
1.04072616e-01, 1.93927474e-02
1.04453474e-01, 1.94462910e-02
1.04834333e-01, 1.94995329e-02
1.05215192e-01, 1.95524246e-02
1.05596051e-01, 1.96050815e-02
1.05976909e-01, 1.96573697e-02
1.06357768e-01, 1.97094604e-02
1.06738627e-01, 1.97611600e-02
1.07119486e-01, 1.98126100e-02
1.07500345e-01, 1.98639110e-02
1.07881203e-01, 1.99146867e-02
1.08262062e-01, 1.99653059e-02
1.08642921e-01, 2.00157054e-02
1.09023780e-01, 2.00657081e-02
1.09404638e-01, 2.01155376e-02
1.09785497e-01, 2.01650169e-02
1.10166356e-01, 2.02142708e-02
1.10547215e-01, 2.02632770e-02
1.10928074e-01, 2.03119405e-02
1.11308932e-01, 2.03604568e-02
1.11689791e-01, 2.04085987e-02
1.12070650e-01, 2.04565246e-02
1.12451509e-01, 2.05042548e-02
1.12832367e-01, 2.05515996e-02
1.13213226e-01, 2.05987953e-02
1.13594085e-01, 2.06456929e-02
1.13974944e-01, 2.06923224e-02
1.14355803e-01, 2.07388029e-02
1.14736661e-01, 2.07848884e-02
1.15117520e-01, 2.08308212e-02
1.15498379e-01, 2.08764914e-02
1.15879238e-01, 2.09218878e-02
1.16260096e-01, 2.09671427e-02
1.16640955e-01, 2.10120250e-02
1.17021814e-01, 2.10567489e-02
1.17402673e-01, 2.11012512e-02
1.17783532e-01, 2.11454462e-02
1.18164390e-01, 2.11895108e-02
1.18545249e-01, 2.12332495e-02
1.18926108e-01, 2.12768037e-02
1.19306967e-01, 2.13201679e-02
1.19687825e-01, 2.13632211e-02
1.20068684e-01, 2.14061402e-02
1.20449543e-01, 2.14487724e-02
1.20830402e-01, 2.14912035e-02
1.21211261e-01, 2.15334818e-02
1.21592119e-01, 2.15754211e-02
1.21972978e-01, 2.16172412e-02
1.22353837e-01, 2.16588154e-02
1.22734696e-01, 2.17001569e-02
1.23115554e-01, 2.17413735e-02
1.23496413e-01, 2.17822585e-02
1.23877272e-01, 2.18230151e-02
1.24258131e-01, 2.18635574e-02
1.24638990e-01, 2.19038576e-02
1.25019848e-01, 2.19440423e-02
1.25400707e-01, 2.19839178e-02
1.25781566e-01, 2.20236480e-02
1.26162425e-01, 2.20632069e-02
1.26543283e-01, 2.21024957e-02
1.26924142e-01, 2.21416727e-02
1.27305001e-01, 2.21805889e-02
1.27685860e-01, 2.22193357e-02
1.28066719e-01, 2.22579353e-02
1.28447577e-01, 2.22962555e-02
1.28828436e-01, 2.23344676e-02
1.29209295e-01, 2.23724507e-02
1.29590154e-01, 2.24102456e-02
1.29971012e-01, 2.24479213e-02
1.30351871e-01, 2.24853065e-02
1.30732730e-01, 2.25225892e-02
1.31113589e-01, 2.25596670e-02
1.31494448e-01, 2.25965455e-02
1.31875306e-01, 2.26333234e-02
1.32256165e-01, 2.26698145e-02
1.32637024e-01, 2.27061957e-02
1.33017883e-01, 2.27424018e-02
1.33398741e-01, 2.27783993e-02
1.33779600e-01, 2.28142925e-02
1.34160459e-01, 2.28499360e-02
1.34541318e-01, 2.28854511e-02
1.34922177e-01, 2.29208227e-02
1.35303035e-01, 2.29559615e-02
1.35683894e-01, 2.29910016e-02
1.36064753e-01, 2.30258331e-02
1.36445612e-01, 2.30605099e-02
1.36826470e-01, 2.30950676e-02
1.37207329e-01, 2.31293812e-02
1.37588188e-01, 2.31636092e-02
1.37969047e-01, 2.31976379e-02
1.38349906e-01, 2.32315026e-02
1.38730764e-01, 2.32652817e-02
1.39111623e-01, 2.32988037e-02
1.39492482e-01, 2.33322326e-02
1.39873341e-01, 2.33655050e-02
1.40254200e-01, 2.33985968e-02
1.40635058e-01, 2.34315991e-02
1.41015917e-01, 2.34643742e-02
1.41396776e-01, 2.34970376e-02
1.41777635e-01, 2.35295650e-02
1.42158493e-01, 2.35619061e-02
1.42539352e-01, 2.35941634e-02
1.42920211e-01, 2.36262064e-02
1.43301070e-01, 2.36581378e-02
1.43681929e-01, 2.36899536e-02
1.44062787e-01, 2.37215664e-02
1.44443646e-01, 2.37530954e-02
1.44824505e-01, 2.37844475e-02
1.45205364e-01, 2.38156654e-02
1.45586222e-01, 2.38467865e-02
1.45967081e-01, 2.38777045e-02
1.46347940e-01, 2.39085332e-02
1.46728799e-01, 2.39392109e-02
1.47109658e-01, 2.39697434e-02
1.47490516e-01, 2.40001976e-02
1.47871375e-01, 2.40304377e-02
1.48252234e-01, 2.40605921e-02
1.48633093e-01, 2.40906179e-02
1.49013951e-01, 2.41204817e-02
1.49394810e-01, 2.41502747e-02
1.49775669e-01, 2.41798721e-02
1.50156528e-01, 2.42093820e-02
1.50537387e-01, 2.42387727e-02
1.50918245e-01, 2.42679995e-02
1.51299104e-01, 2.42971517e-02
1.51679963e-01, 2.43261419e-02
1.52060822e-01, 2.43550166e-02
1.52441680e-01, 2.43837982e-02
1.52822539e-01, 2.44124010e-02
1.53203398e-01, 2.44409349e-02
1.53584257e-01, 2.44693123e-02
1.53965116e-01, 2.44975686e-02
1.54345974e-01, 2.45257374e-02
1.54726833e-01, 2.45536454e-02
1.55107692e-01, 2.45814677e-02
1.55488551e-01, 2.46091560e-02
1.55869409e-01, 2.46368349e-02
1.56250268e-01, 2.46645194e-02
1.56631127e-01, 2.46919394e-02
1.57011986e-01, 2.47193053e-02
1.57392845e-01, 2.47465484e-02
1.57773703e-01, 2.47736536e-02
1.58154562e-01, 2.48007141e-02
1.58535421e-01, 2.48275995e-02
1.58916280e-01, 2.48544049e-02
1.59297138e-01, 2.48811338e-02
1.59677997e-01, 2.49077026e-02
1.60058856e-01, 2.49342136e-02
1.60439715e-01, 2.49605775e-02
1.60820574e-01, 2.49868557e-02
1.61201432e-01, 2.50130482e-02
1.61582291e-01, 2.50390880e-02
1.61963150e-01, 2.50650737e-02
1.62344009e-01, 2.50909254e-02
1.62724867e-01, 2.51166783e-02
1.63105726e-01, 2.51423661e-02
1.63486585e-01, 2.51678955e-02
1.63867444e-01, 2.51933653e-02
1.64248303e-01, 2.52187215e-02
1.64629161e-01, 2.52439715e-02
1.65010020e-01, 2.52691694e-02
1.65390879e-01, 2.52942052e-02
1.65771738e-01, 2.53191814e-02
1.66152596e-01, 2.53440589e-02
1.66533455e-01, 2.53688265e-02
1.66914314e-01, 2.53935307e-02
1.67295173e-01, 2.54181009e-02
1.67676032e-01, 2.54426003e-02
1.68056890e-01, 2.54670139e-02
1.68437749e-01, 2.54913010e-02
1.68818608e-01, 2.55155563e-02
1.69199467e-01, 2.55396664e-02
1.69580325e-01, 2.55637076e-02
1.69961184e-01, 2.55876798e-02
1.70342043e-01, 2.56115217e-02
1.70722902e-01, 2.56353114e-02
1.71103761e-01, 2.56589912e-02
1.71484619e-01, 2.56825853e-02
1.71865478e-01, 2.57061254e-02
1.72246337e-01, 2.57295277e-02
1.72627196e-01, 2.57528834e-02
1.73008054e-01, 2.57761367e-02
1.73388913e-01, 2.57992987e-02
1.73769772e-01, 2.58224122e-02
1.74150631e-01, 2.58454010e-02
1.74531490e-01, 2.58683264e-02
1.74912348e-01, 2.58911736e-02
1.75293207e-01, 2.59139240e-02
1.75674066e-01, 2.59366259e-02
1.76054925e-01, 2.59592049e-02
1.76435784e-01, 2.59817299e-02
1.76816642e-01, 2.60041840e-02
1.77197501e-01, 2.60265209e-02
1.77578360e-01, 2.60488205e-02
1.77959219e-01, 2.60710157e-02
1.78340077e-01, 2.60931402e-02
1.78720936e-01, 2.61152126e-02
1.79101795e-01, 2.61371695e-02
1.79482654e-01, 2.61590779e-02
1.79863513e-01, 2.61808969e-02
1.80244371e-01, 2.62026396e-02
1.80625230e-01, 2.62243189e-02
1.81006089e-01, 2.62459181e-02
1.81386948e-01, 2.62674503e-02
1.81767806e-01, 2.62889154e-02
1.82148665e-01, 2.63102818e-02
1.82529524e-01, 2.63316128e-02
1.82910383e-01, 2.63528358e-02
1.83291242e-01, 2.63740048e-02
1.83672100e-01, 2.63951141e-02
1.84052959e-01, 2.64161266e-02
1.84433818e-01, 2.64371000e-02
1.84814677e-01, 2.64579784e-02
1.85195535e-01, 2.64787935e-02
1.85576394e-01, 2.64995638e-02
1.85957253e-01, 2.65202243e-02
1.86338112e-01, 2.65408531e-02
1.86718971e-01, 2.65613925e-02
1.87099829e-01, 2.65818648e-02
1.87480688e-01, 2.66022980e-02
1.87861547e-01, 2.66226213e-02
1.88242406e-01, 2.66429111e-02
1.88623264e-01, 2.66631246e-02
1.89004123e-01, 2.66832653e-02
1.89384982e-01, 2.67033651e-02
1.89765841e-01, 2.67233625e-02
1.90146700e-01, 2.67433189e-02
1.90527558e-01, 2.67632138e-02
1.90908417e-01, 2.67830230e-02
1.91289276e-01, 2.68027969e-02
1.91670135e-01, 2.68224776e-02
1.92050993e-01, 2.68421024e-02
1.92431852e-01, 2.68616751e-02
1.92812711e-01, 2.68811509e-02
1.93193570e-01, 2.69006081e-02
1.93574429e-01, 2.69199684e-02
1.93955287e-01, 2.69392766e-02
1.94336146e-01, 2.69585289e-02
1.94717005e-01, 2.69776843e-02
1.95097864e-01, 2.69967988e-02
1.95478722e-01, 2.70158425e-02
1.95859581e-01, 2.70348005e-02
1.96240440e-01, 2.70537212e-02
1.96621299e-01, 2.70725638e-02
1.97002158e-01, 2.70913392e-02
1.97383016e-01, 2.71099936e-02
1.97763875e-01, 2.71287039e-02
1.98144734e-01, 2.71474179e-02
1.98525593e-01, 2.71657370e-02
1.98906451e-01, 2.71846410e-02
1.99287310e-01, 2.72043981e-02
1.99668169e-01, 2.72219479e-02
2.00049028e-01, 2.72440016e-02


