[Name]
Series 1 at Line 1

[Data]
X [ m ],Velocity u [ m s^-1 ]
9.99999978e-03, 0.00000000e+00
1.03808613e-02, -5.31289552e-05
1.07617229e-02, -2.36411739e-04
1.11425845e-02, -4.01372032e-04
1.15234461e-02, -6.12098258e-04
1.19043076e-02, -8.41484172e-04
1.22851692e-02, -1.07903406e-03
1.26660308e-02, -1.31180405e-03
1.30468924e-02, -1.53964781e-03
1.34277539e-02, -1.74403610e-03
1.38086155e-02, -1.93721964e-03
1.41894771e-02, -2.10223044e-03
1.45703387e-02, -2.24852352e-03
1.49512002e-02, -2.37807841e-03
1.53320618e-02, -2.47715786e-03
1.57129243e-02, -2.56465469e-03
1.60937868e-02, -2.62849126e-03
1.64746493e-02, -2.67686835e-03
1.68555118e-02, -2.71522556e-03
1.72363743e-02, -2.73160310e-03
1.76172368e-02, -2.73975777e-03
1.79980993e-02, -2.73263454e-03
1.83789618e-02, -2.71293707e-03
1.87598243e-02, -2.68684002e-03
1.91406868e-02, -2.64726346e-03
1.95215493e-02, -2.60236650e-03
1.99024118e-02, -2.54967296e-03
2.02832744e-02, -2.48813955e-03
2.06641369e-02, -2.42264057e-03
2.10449994e-02, -2.34817434e-03
2.14258619e-02, -2.26948527e-03
2.18067244e-02, -2.18629674e-03
2.21875869e-02, -2.09658127e-03
2.25684494e-02, -2.00431445e-03
2.29493119e-02, -1.90680637e-03
2.33301744e-02, -1.80597510e-03
2.37110369e-02, -1.70253171e-03
2.40918994e-02, -1.59450131e-03
2.44727619e-02, -1.48471713e-03
2.48536244e-02, -1.37135107e-03
2.52344869e-02, -1.25603983e-03
2.56153494e-02, -1.13962113e-03
2.59962119e-02, -1.01921277e-03
2.63770744e-02, -8.97718593e-04
2.67579369e-02, -7.74257584e-04
2.71387994e-02, -6.48898305e-04
2.75196619e-02, -5.22614340e-04
2.79005244e-02, -3.94273666e-04
2.82813869e-02, -2.65030452e-04
2.86622494e-02, -1.34571019e-04
2.90431120e-02, -2.82205292e-06
2.94239745e-02, 1.29513297e-04
2.98048370e-02, 2.63239315e-04
3.01856995e-02, 3.97537544e-04
3.05665620e-02, 5.32421167e-04
3.09474245e-02, 6.68565510e-04
3.13282870e-02, 8.04955489e-04
3.17091495e-02, 9.41538136e-04
3.20900120e-02, 1.07875525e-03
3.24708745e-02, 1.21643906e-03
3.28517370e-02, 1.35456526e-03
3.32325995e-02, 1.49287446e-03
3.36134620e-02, 1.63156376e-03
3.39943245e-02, 1.77040789e-03
3.43751870e-02, 1.90934562e-03
3.47560495e-02, 2.04857509e-03
3.51369120e-02, 2.18783645e-03
3.55177745e-02, 2.32721772e-03
3.58986370e-02, 2.46630423e-03
3.62794995e-02, 2.60530831e-03
3.66603620e-02, 2.74438271e-03
3.70412245e-02, 2.88337353e-03
3.74220870e-02, 3.02231009e-03
3.78029495e-02, 3.16097168e-03
3.81838121e-02, 3.29952105e-03
3.85646746e-02, 3.43783945e-03
3.89455371e-02, 3.57589126e-03
3.93263996e-02, 3.71375051e-03
3.97072621e-02, 3.85122234e-03
4.00881246e-02, 3.98850860e-03
4.04689871e-02, 4.12539206e-03
