"actual-drag-rfile"
"Iteration" "actual-drag"
("Iteration" "actual-drag")
1 0.003633273132006256
2 0.001924633567152232
3 0.001036043799330141
4 0.0005882228274987204
5 0.0003619963946091946
6 0.0002472502593898503
7 0.0001886820824877023
8 0.0001586732558392081
9 0.0001430760090340017
10 0.0001348229630143575
11 0.0001303270666639242
12 0.0001277742790720621
13 0.0001262419037396443
14 0.000125284305967371
15 0.0001246273431748676
16 0.0001241571283644943
17 0.0001238022063419186
18 0.0001235266769867323
19 0.000123305926685548
20 0.0001231263144321057
21 0.0001229765535867164
22 0.0001228501849710847
23 0.0001227430708219331
24 0.0001226519390149085
25 0.000122574300490499
26 0.0001225081640831473
27 0.0001224517723329303
28 0.0001224036617829873
29 0.0001223625911868419
30 0.0001223275209624669
31 0.0001222975620782406
32 0.0001222719730041524
33 0.0001222501232874604
34 0.0001222314778037816
35 0.0001222155634933493
36 0.0001222019799606303
37 0.0001221903918370383
38 0.0001221805051860076
39 0.0001221720740775104
40 0.000122164889132029
41 0.0001221587618560944
42 0.0001221535459146669
43 0.0001221491039640129
44 0.0001221453191947611
45 0.0001221420959158567
46 0.0001221393505027995
47 0.0001221370127673904
48 0.0001221350225341086
49 0.000122133327933006
50 0.000122131884961803
51 0.0001221306562007302
52 0.0001221296094696479
53 0.000122128718035325
54 0.0001221279588357705
55 0.0001221273122002334
56 0.0001221267614188984
57 0.0001221262922641904
58 0.0001221258926039903
59 0.0001221255521717466
60 0.0001221252621792043
61 0.0001221250151478913
62 0.0001221248047109792
63 0.0001221246254464128
64 0.000122124472735939
65 0.0001221243426460536
66 0.0001221242318262376
67 0.0001221241374223993
68 0.0001221240570031892
69 0.000122123988497329
70 0.0001221239301402415
71 0.0001221238804285239
72 0.0001221238380815099
