"drag-force-on-square-rfile"
"Iteration" "drag-force-on-square"
("Iteration" "drag-force-on-square")
1 0.005931874501234703
2 0.003142258885146501
3 0.001691500080539006
4 0.0009603637999979108
5 0.0005910145218109299
6 0.0004036738928813882
7 0.0003080523795717588
8 0.0002590583768803398
9 0.0002335934841371457
10 0.0002201191232887468
11 0.000212778884349264
12 0.0002086110678727544
13 0.0002061092305953376
14 0.0002045458056610139
15 0.0002034732133467226
16 0.0002027055156971335
17 0.0002021260511704794
18 0.0002016762073252771
19 0.0002013157986702824
20 0.0002010225541748665
21 0.00020077804667219
22 0.0002005717305650362
23 0.0002003968503215234
24 0.0002002480636978098
25 0.0002001213069232637
26 0.0002000133291153425
27 0.0001999212609517229
28 0.0001998427131150814
29 0.0001997756590805582
30 0.0001997184015713746
31 0.0001996694891073316
32 0.0001996277110271875
33 0.0001995920380203434
34 0.0001995615964143373
35 0.0001995356138666927
36 0.0001995134366704168
37 0.0001994945172849605
38 0.00019947837581389
39 0.0001994646107387924
40 0.0001994528802155576
41 0.0001994428764997459
42 0.0001994343606770071
43 0.0001994271085126741
44 0.0001994209292975692
45 0.0001994156668013987
46 0.0001994111844943665
47 0.0001994073677834945
48 0.0001994041184230345
49 0.0001994013517273568
50 0.0001993989958560048
51 0.0001993969897154778
52 0.000199395280766772
53 0.000199393825363796
54 0.0001993925858543191
55 0.00019939153012283
56 0.0001993906308879974
57 0.0001993898649211271
58 0.0001993892124146781
59 0.0001993886566069332
60 0.0001993881831497213
61 0.0001993877798332919
62 0.0001993874362628231
63 0.0001993871435859801
64 0.0001993868942627575
65 0.0001993866818711079
66 0.0001993865009407961
67 0.0001993863468120804
68 0.0001993862155154109
69 0.0001993861036691086
70 0.0001993860083922311
71 0.0001993859272302432
72 0.0001993858580922611
