"actual-drag-rfile"
"Iteration" "actual-drag"
("Iteration" "actual-drag")
1 0.0003171075661968903
2 0.0001768029290274417
3 0.0001007742948536269
4 6.221519210713017e-05
5 4.245691889394898e-05
6 3.224074527371557e-05
7 2.69344735187109e-05
8 2.416218494392057e-05
9 2.268945660222056e-05
10 2.189561000474393e-05
11 2.145836184326643e-05
12 2.120767912300366e-05
13 2.105896006682588e-05
14 2.096850387944122e-05
15 2.091286903607061e-05
16 2.08775372265973e-05
17 2.085355890583547e-05
18 2.083663265124482e-05
19 2.082450992011953e-05
20 2.0815580098791e-05
21 2.080890470040736e-05
22 2.080386165052034e-05
23 2.080002180220397e-05
24 2.079708098346136e-05
25 2.079481958721989e-05
26 2.079307468336725e-05
27 2.079172519651478e-05
28 2.079067989282049e-05
29 2.078986936172018e-05
30 2.078924044659275e-05
31 2.078875224755524e-05
32 2.078837325636441e-05
33 2.078807905069893e-05
34 2.078785069529153e-05
35 2.078767348262761e-05
36 2.078753598416504e-05
37 2.078742932156899e-05
38 2.078734659530945e-05
39 2.078728244469285e-05
40 2.078723270652313e-05
41 2.078719414899011e-05
42 2.078716426193593e-05
43 2.078714109893359e-05
44 2.078712314636239e-05
45 2.07871092294949e-05
46 2.078709843974538e-05
47 2.078709007391391e-05
48 2.078708358719766e-05
49 2.078707855733615e-05
50 2.078707465700568e-05
51 2.078707163247961e-05
