"drag-force-on-square-rfile"
"Iteration" "drag-force-on-square"
("Iteration" "drag-force-on-square")
1 0.0001631591893606466
2 0.0001173975322740194
3 8.304983546007366e-05
4 6.492075156766832e-05
5 5.517200716214465e-05
6 4.974139347834142e-05
7 4.664319183702783e-05
8 4.475639887901371e-05
9 4.355995373550592e-05
10 4.279443474650305e-05
11 4.229562193075736e-05
12 4.195739736599942e-05
13 4.171801656623871e-05
14 4.154512590128099e-05
15 4.141947989911221e-05
16 4.13273228020559e-05
17 4.125868232221743e-05
18 4.120670560574768e-05
19 4.116682364074988e-05
20 4.113594949743952e-05
21 4.111193550406677e-05
22 4.109323886927016e-05
23 4.107872760332749e-05
24 4.106749579802653e-05
25 4.10588250988493e-05
26 4.10521516979308e-05
27 4.104702681796665e-05
28 4.10430943872064e-05
29 4.104007605676078e-05
30 4.103775696875237e-05
31 4.103597249440323e-05
32 4.103459704652738e-05
33 4.103353499617752e-05
34 4.103271353327168e-05
35 4.103207713744752e-05
36 4.103158341638002e-05
37 4.10311998984615e-05
38 4.103090166542022e-05
39 4.103062603286795e-05
40 4.103044256579857e-05
41 4.103032148189973e-05
42 4.103020348467683e-05
43 4.103010466902196e-05
44 4.103003447237951e-05
45 4.102998574231805e-05
46 4.102995130425294e-05
47 4.102992631235513e-05
48 4.102990766658235e-05
49 4.102989339730877e-05
50 4.102988225352254e-05
51 4.1029873426797e-05
52 4.102986637611456e-05
53 4.102986072170079e-05
54 4.102985618305123e-05
55 4.102985254369818e-05
56 4.102984963133786e-05
57 4.102984730635169e-05
