"actual-drag-rfile"
"Iteration" "actual-drag"
("Iteration" "actual-drag")
1 9.993500348339604e-05
2 7.190598851783688e-05
3 5.086802421929512e-05
4 3.976396033519685e-05
5 3.37928543868136e-05
6 3.046660350548412e-05
7 2.856895500017955e-05
8 2.74132943133959e-05
9 2.668047166299738e-05
10 2.621159128223312e-05
11 2.590606843258888e-05
12 2.569890588667464e-05
13 2.555228514682121e-05
14 2.544638961453461e-05
15 2.536943143820623e-05
16 2.531298521625924e-05
17 2.527094292235818e-05
18 2.523910718352046e-05
19 2.52146794799593e-05
20 2.519576906718171e-05
21 2.51810604962409e-05
22 2.516960880742797e-05
23 2.516072065703809e-05
24 2.515384117629125e-05
25 2.51485303730452e-05
26 2.514444291498262e-05
27 2.514130392600457e-05
28 2.513889531216392e-05
29 2.513704658476598e-05
30 2.513562614336083e-05
31 2.513453315282198e-05
32 2.513369069099802e-05
33 2.513304018515873e-05
34 2.513253703912891e-05
35 2.513214724668661e-05
36 2.513184484253277e-05
37 2.513160993780767e-05
38 2.513142727006988e-05
39 2.513125844513162e-05
40 2.513114607155162e-05
41 2.513107190766358e-05
42 2.513099963436456e-05
43 2.513093910977595e-05
44 2.513089611433245e-05
45 2.513086626716981e-05
46 2.513084517385493e-05
47 2.513082986631752e-05
48 2.513081844578169e-05
49 2.513080970585162e-05
50 2.513080288028256e-05
51 2.513079747391317e-05
52 2.513079315537017e-05
53 2.513078969204174e-05
54 2.513078691211888e-05
55 2.513078468301514e-05
56 2.513078289919444e-05
57 2.513078147514041e-05
