"actual-drag-rfile"
"Iteration" "actual-drag"
("Iteration" "actual-drag")
1 0.000159326843528286
2 9.379060696531127e-05
3 5.852505803803109e-05
4 4.049857400350445e-05
5 3.119644106423329e-05
6 2.632976300577167e-05
7 2.371960993433347e-05
8 2.229998370952302e-05
9 2.151520016896907e-05
10 2.106343095296967e-05
11 2.079507133212761e-05
12 2.063064910839751e-05
13 2.052650554901659e-05
14 2.04580471706422e-05
15 2.041180717695451e-05
16 2.037967941279912e-05
17 2.035681268369427e-05
18 2.034022287409959e-05
19 2.032800690057336e-05
20 2.031890149328224e-05
21 2.031207090244432e-05
22 2.030692309389289e-05
23 2.030302012329398e-05
24 2.030004137209182e-05
25 2.029777623453015e-05
26 2.029605616917682e-05
27 2.029474788414794e-05
28 2.029375233018933e-05
29 2.029299413695164e-05
30 2.029241700441179e-05
31 2.029197802546015e-05
32 2.029164419497827e-05
33 2.029138825873544e-05
34 2.029119454745376e-05
35 2.029104849960961e-05
36 2.029093832099881e-05
37 2.029085506284406e-05
38 2.029079290097995e-05
39 2.029074588775172e-05
40 2.029071012525424e-05
41 2.029068266639394e-05
42 2.029066189776782e-05
43 2.029064652109336e-05
44 2.029063498965361e-05
45 2.029062626779721e-05
46 2.029061966320723e-05
47 2.029061466166686e-05
48 2.029061087984221e-05
49 2.029060802663129e-05
50 2.029060587817968e-05
51 2.029060426192132e-05
52 2.029060304572976e-05
